	[October 24 2018, 04:31:23]	
Start here.
	October 24 2018, 04:31:23

	[October 24 2018, 04:33:03]	Now 86 iteration, used photos.getAlbums method, success on the 1 try, spent 0.9318075180053711 second(-s).
	[October 24 2018, 04:33:04]	Now 87 iteration, used friends.get method, success on the 1 try, spent 1.297288179397583 second(-s).
	[October 24 2018, 04:33:05]	Now 88 iteration, used photos.getAlbums method, success on the 1 try, spent 1.244312047958374 second(-s).
	[October 24 2018, 04:33:06]	Now 89 iteration, used friends.getMutual method, success on the 1 try, spent 0.6488420963287354 second(-s).
	[October 24 2018, 04:33:06]	Now 90 iteration, used friends.getMutual method, success on the 1 try, spent 0.5405468940734863 second(-s).
	[October 24 2018, 04:33:06]	Now 91 iteration, used users.get method, success on the 1 try, spent 0.14786863327026367 second(-s).
	[October 24 2018, 04:33:07]	Now 92 iteration, used users.get method, success on the 1 try, spent 0.6213679313659668 second(-s).
	[October 24 2018, 04:33:07]	Now 93 iteration, used friends.get method, success on the 1 try, spent 0.24785614013671875 second(-s).
	[October 24 2018, 04:33:08]	Now 94 iteration, used friends.get method, success on the 1 try, spent 0.29524827003479004 second(-s).
	[October 24 2018, 04:33:09]	Now 95 iteration, used friends.get method, success on the 1 try, spent 1.04240083694458 second(-s).
	[October 24 2018, 04:33:11]	Now 96 iteration, used photos.getAlbums method, success on the 1 try, spent 2.075812578201294 second(-s).
	[October 24 2018, 04:33:12]	Now 97 iteration, used users.get method, success on the 1 try, spent 1.4654145240783691 second(-s).
	[October 24 2018, 04:33:13]	Now 98 iteration, used users.get method, success on the 1 try, spent 0.8651161193847656 second(-s).
	[October 24 2018, 04:33:14]	Now 99 iteration, used friends.getMutual method, success on the 1 try, spent 1.0094640254974365 second(-s).
	[October 24 2018, 04:33:15]	Now 100 iteration, used photos.getAlbums method, success on the 1 try, spent 0.751215934753418 second(-s).
	[October 24 2018, 04:33:15]	Now, it`s the end. Elapsed time 111.81598806381226.
October 24 2018, 04:33:15
	[October 24 2018, 04:33:15]	
Start here.
	October 24 2018, 04:33:15


	[October 24 2018, 04:33:15]	Now 1 iteration, used friends.getMutual method, success on the 1 try, spent 0.5059182643890381 second(-s).
	[October 24 2018, 04:33:18]	Now 2 iteration, used wall.get method, success on the 1 try, spent 2.145792245864868 second(-s).
	[October 24 2018, 04:33:18]	Now 3 iteration, used photos.getAlbums method, success on the 1 try, spent 0.15857458114624023 second(-s).
	[October 24 2018, 04:33:18]	Now 4 iteration, used friends.get method, success on the 1 try, spent 0.14267206192016602 second(-s).
	[October 24 2018, 04:33:18]	Now 5 iteration, used users.get method, success on the 1 try, spent 0.138702392578125 second(-s).
	[October 24 2018, 04:33:18]	Now 6 iteration, used friends.get method, success on the 1 try, spent 0.26639461517333984 second(-s).
	[October 24 2018, 04:33:19]	Now 7 iteration, used photos.getAlbums method, success on the 1 try, spent 0.17554807662963867 second(-s).
	[October 24 2018, 04:33:19]	Now 8 iteration, used friends.get method, success on the 1 try, spent 0.15110182762145996 second(-s).
	[October 24 2018, 04:33:19]	Now 9 iteration, used friends.get method, success on the 1 try, spent 0.19747352600097656 second(-s).
	[October 24 2018, 04:33:19]	Now 10 iteration, used users.get method, success on the 1 try, spent 0.18552088737487793 second(-s).
	[October 24 2018, 04:33:19]	Now 11 iteration, used friends.get method, success on the 1 try, spent 0.14261984825134277 second(-s).
	[October 24 2018, 04:33:19]	Now 12 iteration, used friends.get method, success on the 1 try, spent 0.14162063598632812 second(-s).
	[October 24 2018, 04:33:20]	Now 13 iteration, used users.get method, success on the 1 try, spent 0.15658092498779297 second(-s).
	[October 24 2018, 04:33:20]	Now 14 iteration, used friends.getMutual method, success on the 1 try, spent 0.1526198387145996 second(-s).
	[October 24 2018, 04:33:22]	Now 15 iteration, used wall.get method, success on the 5 try, spent 2.363358736038208 second(-s).
	[October 24 2018, 04:33:23]	Now 16 iteration, used photos.getAlbums method, success on the 1 try, spent 1.2108471393585205 second(-s).
	[October 24 2018, 04:33:24]	Now 17 iteration, used wall.get method, success on the 1 try, spent 0.7024126052856445 second(-s).
	[October 24 2018, 04:33:25]	Now 18 iteration, used users.get method, success on the 1 try, spent 1.3172528743743896 second(-s).
	[October 24 2018, 04:33:26]	Now 19 iteration, used friends.get method, success on the 1 try, spent 0.18274784088134766 second(-s).
	[October 24 2018, 04:33:26]	Now 20 iteration, used wall.get method, success on the 1 try, spent 0.27578258514404297 second(-s).
	[October 24 2018, 04:33:26]	Now 21 iteration, used friends.get method, success on the 1 try, spent 0.1515953540802002 second(-s).
	[October 24 2018, 04:33:26]	Now 22 iteration, used wall.get method, success on the 1 try, spent 0.24438238143920898 second(-s).
	[October 24 2018, 04:33:27]	Now 23 iteration, used users.get method, success on the 1 try, spent 0.19946765899658203 second(-s).
	[October 24 2018, 04:33:27]	Now 24 iteration, used users.get method, success on the 1 try, spent 0.14963173866271973 second(-s).
	[October 24 2018, 04:33:27]	Now 25 iteration, used wall.get method, success on the 1 try, spent 0.2729470729827881 second(-s).
	[October 24 2018, 04:33:27]	Now 26 iteration, used friends.get method, success on the 1 try, spent 0.14890480041503906 second(-s).
